(index + 1),Azimuth[index],Elevation[index],SunXComponents[index],SunYComponents[index],SunZComponents[index],Third Euler Angle
332,137.188709,304.9711297,-107912237.1,57295595.18,-81863804.58,294.5182692
333,138.2078702,305.7656149,-109673014,57294864,-79491174.86,293.2648468
334,139.216621,306.6053852,-111381634.2,57294132.61,-77080705.22,292.0114245
335,140.2141433,307.4932688,-113037284.8,57293401.01,-74633542,290.7580021
336,141.1995456,308.4322805,-114639178.1,57292669.19,-72150849,289.5045797
337,142.1718556,309.4256252,-116186551.9,57291937.16,-69633806.9,288.2511573
338,143.1300133,310.4766994,-117678670,57291204.91,-67083612.75,286.9977349
339,144.0728625,311.5890875,-119114822.4,57290472.45,-64501479.37,285.7443125
340,144.999143,312.7665539,-120494325.8,57289739.78,-61888634.76,284.4908901
341,145.9074817,314.0130277,-121816523.8,57289006.89,-59246321.55,283.2374678
342,146.7963841,315.3325786,-123080787.1,57288273.79,-56575796.39,281.9840454
343,147.6642261,316.7293822,-124286514.3,57287540.47,-53878329.35,280.730623
344,148.5092459,318.2076711,-125433131.6,57286806.94,-51155203.31,279.4772006
345,149.3295371,319.7716701,-126520093.3,57286073.19,-48407713.39,278.2237782
346,150.1230437,321.4255117,-127546882.1,57285339.23,-45637166.27,276.9703558
347,150.8875571,323.1731298,-128513009.4,57284605.06,-42844879.63,275.7169334
348,151.6207162,325.0181276,-129418015.4,57283870.68,-40032181.48,274.463511
349,152.320013,326.96362,-130261469.4,57283136.08,-37200409.54,273.2100887
350,152.9828017,329.0120486,-131042969.8,57282401.26,-34350910.64,271.9566663
351,153.606317,331.1649724,-131762144.8,57281666.23,-31485040,270.7032439
352,154.1876987,333.422838,-132418651.8,57280930.99,-28604160.68,269.4498215
